stars,comment
"5.0 out of 5 stars","I bought this just for brewing via French press which requires a coarse grind. I'm using click setting #16 (13-18 is for coarse grind). I might bring it down to maybe 15 or 14. I'm still playing around with it to see what works best. I'm able to get approximately about 5.5 tablespoons per grind. The general rule for French press is 1 tablespoon for 4 oz of water.The grind only took me 1 minute maybe coz I'm using a coarser grind setting, I was surprise how fast it took. I plan to drink 16-24 ounces per day of coffee.I thought it would take forever to grind, but it's great that it doesn't take long at all. It might take longer if you are using a finer grind setting, but I'm glad I don't have to deal with that.What I do is grind it the night before, so when I wake up at 5 am for work, all I gotta do is just heat up the water in the electric kettle, get dressed up, and then brew it after the water has heated"
"5.0 out of 5 stars","I had an electric coffee grinder for a couple of years, given to me by a friend.  While the electric grinder worked, it was not only bulky, taking up valuable countertop space, but also horribly loud; I try to be courteous to neighbors and so I was reluctant to run my coffee grinder first thing in the morning... when I needed it most.I saw that this JavaPresse Manual Coffee Grinder had good reviews on Amazon so I bought one.  It's very easy to see why it gets great reviews!First, this grinder is very small and compact.  If space is at a premium, then this is the coffee grinder for you.  Perhaps there is a smaller one out there, but I can't imagine there are too many that are a lot smaller.Second, the controls/adjustments are minimal: there is the grinding handle, the removable top for loading coffee beans, the removable bottom for emptying the grounds, and an inner adjustment dial for calibrating the size of your grind.Third, this coffee grinder just feels like a quality item.  Most of the parts are made of stainless steel, with minimal use of plastics and the actual grinding component made of ceramic.  There's nothing on it that I look at and think ''uh oh, I bet that's gonna break''.  Of course, only time will tell but I'm optimistic.Finally, the quantity of coffee that I can grind with this mill is just right for a cup of coffee.  That means that there's no excess to set aside (where it can dry out and lose flavor) or discard.  Perfect for someone who wants their morning cup and not an entire pot."
"1.0 out of 5 stars","I would not recommend this item. The grind is very inconsistent, especially at the medium - course settings. When grinding medium-course for Chemex, this produces a ton of fines. These fines over extract and add bitterness to every cup you brew. Today, half the grinds were medium course and the other half were fine! It clogged the filter and ruined the brew! If you're grinding more fine for Aeropress then this thing works okay, but truly you'd be better off saving your money, increasing your budget, and buying a much nicer grinder."
"2.0 out of 5 stars","This grinder is nice, but it isn't constructed to last. The handle is connected to a metal shaft that goes down to the ceramic burr. The ceramic burr has a hole in the center that the metal shaft connects to. It is secured to the shaft with a piece of plastic. The center plastic on mine broke and the shafts just spins, not turning the burr at all. However, when it did work It worked great. I was able to enjoy many of cups of fresh ground coffee because of it. I wouldn't recommend using it full time at home, but for a small simple grinder to take camping it would be fine."
"5.0 out of 5 stars","...so I'll share more as I learn more.  I watched the ''unboxing'' video recommended on the insert inside the box and was happy to see that I could start using the product right away without the wash in hot soapy water that is recommended for other items.  (I'll watch cleaning videos later on.)  First impressions: The packaging is gift-worthy. The device itself is beautiful, silver-colored brushed finish, length about 80% distance wrist to elbow, girth circle formed by middle finger and thumb, with a window to see how much coffee you've left to grind.The unboxing video explained that filling the container would make two cups of coffee.  Can confirm.  But did I hear the unboxing video say 1 cup of coffee beans would fit in the hopper? I don't know how much variation there is in coffee bean sizes but I could only fit 1/2 cup Ethiopian Yirgacheffe, and that's a LEVEL 1/2 cup.  And yes, even with the smaller 1/2 cup amount, one is likely to spill a bean or two while transferring the beans from measuring cup to hopper. Since even mild annoyances are magnified in the early-morning pre-caffeinated state, I would recommend using a wide mouth funnel for this step of the process.The assembly process couldn't be simpler, which makes it a great option for backpackers, but I managed to put the handle upside down onto the cap on my first attempt. The grinder actually worked that way, but it's much easier and faster to use with the black knob on top so that it can rest in the hand.  I had enough grinds for my very first cup in about a minute, assembly mistake notwithstanding.I love how quiet the grinder is, and I love the smell of the freshly ground coffee.  I am happy to make this item part of my morning ritual."
"5.0 out of 5 stars","Bear with me.  I'm really excited as I'm a newbie to coffee beans so excuse the rambling.  I've been only using this grinder for about a week.  This is my first manual grinder.  Please.  This is my very first grinder.  I've gone from drinking instant Bustelo to Lavazza in a moka pot to now buying organic dark roast from Fairways.  I will be traveling in a few weeks and was simply looking for something easy to pack (and use) as I'm going with steadfast faith to come in contact with a local personal or business roaster.  Grinder arrived quickly as I am a prime member.  I easily assembled the grinder which included finding the correct grind setting and I'm no pro.  I read the preceding company email but I just forged ahead and put enough beans in to grind a single serving (not recommending this - I was excited).  Read comments so knew this wasn't going to be a very quick process.  Didn't even time it.  I was in love with my beans from the first whiff.  Yummmm.  Meh, maybe 1.5 minutes.  I don't know.  I don't spin the crank but churn with love.  Placed ground coffee in moka pot.  I sipped that coffee , nursed the mug and my eyes rolled to the back of my head.  YO! OH THE LIFE THAT IS AHEAD OF ME!! So now I've been using this daily.  I love cranking it.  It builds up my anticipation for coffee.  Like the company email states: Your grinder is now ready for use anywhere in the world!  Yeah!!!!!  And I paid full price for this and have no affiliation to JavaPresse blah blah blah."
"2.0 out of 5 stars","This grinder is fundamentally inconsistent, which is exactly what someone searching for a conical burr grinder does not want. I ended up taking apart my grinder and noticed that some of the parts were just poorly designed, like a square piece fitting into a circle hole. These poor design decisions lead to a semi-floating burr that is off-center, with one side of the conical burr extremely close to the outer burr. This leads to completely weird grind results, with 25% of the beans finely ground, another 25% extremely coarse, and the remaining 50% varying in between.For example, when spinning the handle with no beans loaded, I notice a consistent and repetitive grinding sound as the burrs grind on each other. This should never happen.Ultimately this inconsistency leads to some really bad coffee depending on your brew method. I tried using this grinder for a pour over (chemex) and a French press. Every time I used this grinder the coffee came out over extracted (in the best case) and very bitter but mostly came out terrible.The experience was very frustrating trying to find out why my coffee was terrible but my friend's was great, but within a week I was able to pinpoint it to this grinder.However, I have to say, they have fantastic customer service and they actually sent me a second grinder within a day of contacting them. But, ultimately, the product is flawed and both grinders I have resulted in over-extracted and inconsistent coffee. This grinder is fine if you don't really care about the consistency and just need your beans ground on the go, but just buy your coffee pre-ground before buying this grinder."
"1.0 out of 5 stars","Saw alot of good reviews, so gave this a try. The company asked for a review, so here it is. Have had it for a few weeks now.  I brew for a Chemex and I was impressed with the first grinds, until I had to dismantle it to clean it. There are parts which interconnect and need to align them to get the grinder to work. I had to fiddle with it a few times to get it to grind again. The grinds ended up very fine every time no matter how many clicks, I did for a course grind. Took it apart and redid it a few times, with all the same results. Good for traveling and portability if it works to not give me a espresso grind everytime. I don't think I am allowed to return this after some use of it, I wish I could, $25 landfill. I cannot recommend."
"3.0 out of 5 stars","I'm a novice in this arena... and I was so excited when I hand-ground my first batch!  It felt great!  We were at 5-Stars that week!Now that I am a few months into this.... I'm searching for another Hand Grinder.  Here are some observations regarding the JavaP... agreeing with some 1-Star reviews:Tremendous movement of Inner and Outer Burrs (Major Slop).  Inconsistant Med-Course Grind.Plastic Bushings that will likely fail.  Mine show signs of wear.The Handle will rust if subjected to water.  Mine is starting.It looks identical to a bunch of others out there on Amazon (Why?)It gets 3 stars because:1) It is worth 3/5 of the $24 I paid...... about $152) It looks great next to my other paraphernalia3) It's a great size and feels good in my hand4) It still works (just not accurately)I am saving my pesos for the Precision Bean Hand Grinder, the Handground Model, or maybe the Hiku?.... I'm accepting contributions..... until then, i'm buying my coffee ground.  Good luck in your search!"
"5.0 out of 5 stars","I don't normally leave reviews of products I buy on Amazon, but there's a specific reason why I am writing a review for this product that you'll find out about shortly. In the meantime, here's a brief list of pros vs cons on this product!Pros:-Works great for the Aeropress using a somewhat ''fine'' course setting with the conical burr just about touching the inside burrs-While it does take a full 1-2 minutes to grind an Aeropress scoop worth of beans, it requires very minimal effort-Built-in window is a nice add-on-Relatively easy to clean-Oddly enough, it fits perfectly into the hollow part of the Aeropress plunger for easy transportationCons:-This product is basically the same design as all the other hand grinders available on Amazon, with the same inherent design flaws-As with all hand grinders, the grind you get for your coffee is never 100% consistent-Plastic piece that sits inside the conical burr is very prone to breakage *****SEE BELOW*****Okay, now for the important part! While I cannot speak for the other companies that sell basically the same product, JavaPresse sets themselves apart for their PHENOMENAL customer service! The aforementioned plastic piece inside the conical burr on mine broke after only two months of multiple grinds per day usage. After contacting JavaPresse about my broken burr using their website, I received an email back from them in literally ten to fifteen minutes asking for my address to send me a whole replacement grinder. The person who responded also told me they were going to be releasing an upgraded burr with a nylon insert that would be available within the week.I responded with my address, thanked them for their prompt service and also asked them to alert me when the upgraded burr was available. In response not only did they send me a whole new grinder, but they had just received these upgraded burrs and sent them to me as well!!!! To say I was blown away by the immediate, prompt, and efficient response to my issues with this product is an understatement. Its not often you see or hear of customer service like this anymore!"
"5.0 out of 5 stars","Throw that handle away and get out to the toolshed. The Miluakee 8 amp Magnum serves me well in the mornin'. Who wants to quietly grind away at the pile of beans their little hand grinder for half an hour anyways? Turn it up to 11 and really watch the window load with mounds o' grounds. It's kind if like internet were to have suddenly jumped from dial-up to fiber. Is it the intended use? No. But is OSHA going to come issue a notice or something? I'm a man and I do what I please, structural integrity be damned. Its not like the thing cost $100."
"5.0 out of 5 stars","I ordered this item about a month ago and when I received it the top chamber and the bottom chamber that should be separated easily were fused together. This was obviously a defect and I returned it for a full refund. I also sent the company feedback about my experience and I received a prompt response taking responsibility, apologizing, and offering to send me a replacement.I have been using this coffee grinder since then and I'm so pleased that I gave it another shot because it's fantastic and exactly what I was looking for. It easily separates into six parts for cleaning, which I do about once a week, and it's easy to put it back together. It took me only a couple minutes and about a dozen coffee beans to calibrate to the couresness I was looking for for a French press. I made note of how many threads are visible at that calibration so I don't have to recalibrate each time I disassemble it for cleaning.I really wanted to buy this because I was previously using a nutribullet with a milling attachment to grind my coffee beans each morning and it was loud, the couresness was really varied and not ideal for my coffee press, and it was a pain to clean everytime. This coffee grinder takes about ten seconds (yes, I timed it for you) to grind beans for one cup, it's very quiet, and I get uniform size for my coffee press.I would definitely recommend this coffee grinder."
"4.0 out of 5 stars","Unit is smaller than you think it will be, and hold just the right amount of beans for a couple rounds with a french press or aero press.  It does need some elbow grease to grind the beans and it does take longer than the traditional blade or burr grinder - remember,  it's manual, not electric.  So far the grind seems consistent.  Adjusting the grind takes some getting used to as you need to remember click count.  The more clicks, the coarser the grind.  I can't speak to the espresso grind requirement since I don't make it.  I had to go online to learn recommended clicks for the type of grind as that info was not included in the little info flyer included.  It talks about the grind size, using after the desired grind is selected, but does not provide the equivalent number of clicks.  They have a lot of good information online.  Having said that, here are their recommended starting points....  You're welcome.Coarse (13-18 Clicks) - French Press, Cold Brew, Percolator, Coffee CuppingMedium Coarse (10-12 Clicks) - Chemex, Drip Coffee Makers, Vacuum PotsMedium (7-9 Clicks) - Pour Over Brewers (Including Ours), AeropressMedium-Fine (4-6 Clicks) - Moka Pots, Pour Over Brewers, AeropressFine (1-3 Clicks) - Espresso, Turkish"
"1.0 out of 5 stars","Fill with beans, set to medium grind, turn handle 100 times, get about a tablespoon of grind,  To empty the top hopper would require somewhere around 800 rotations.  I value my wrists and elbows too much for this TOTAL lying nonsense.  Apparently every other 'reviewer' is a paid for hack."
"4.0 out of 5 stars","I'm not a coffee connoisseur so was somewhat skeptical that I'd appreciate a burr-ground cuppa joe.  I did try a small electric blade-grinder from a well-known kitchen and bath store and that was an epic fail - big mess, grind was a gajillion different sizes, so ended up grinding the coffee to the consistency of powdered sugar.  I knew I didn't want to spend big $$ on an electric burr grinder -- our kitchen counter is already full.  But, I also wasn't sure I wanted to stand around cranking for a while just to make a cup of coffee.Well, after reading reviews I bought a JavaPresse and I'm sold.  It works as advertised.  It came really well packaged and instructions are pretty self-explanatory.  You do have be really careful when taking apart the burr-section (for cleaning or adjusting) not to lose the spring or washers - so I just did it on my dining room table so anything that rolled or sprung would be easy to find.  I did clean and wash mine first with mild dish soap and had to rinse it *really* well, with the small parts and nooks and crannies.  I used a few beans, as instructions/video suggests, to get the grind consistency right (I use a standard drip coffee maker).  It took a couple of tries to figure out how much beans to add for my single 18oz cup of coffee, but that would be the case with pre-ground coffee too.What I like: the coffee flavor really pops with grinding immediately before brewing (as I said, I was skeptical).  The device is really easy to use, especially if you hold the canister with one hand and kind of rotate the opposite direction of the cranking with the other hand. I only make one cup at a time, so it is convenient for me and takes about a minute of grinding - kind of meditative (nah, not really).  Easy to clean.  Compact.  I bought a second one that I keep at the office.  Price is right.What some may not like:  I really does seem to be perfect for a single (large) cup of coffee, or two small cups of coffee.  It would not be ideal if one is making coffee for a few people or a group."
"3.0 out of 5 stars","We used to have a grain grinder that was stones rather than blades and loved it.  We know it takes a bit more time and manual labor, but we are a bit surprised at how long it takes to grind coffee. After about 3 minutes the first time, my husband went to the garage and came back with his drill. He proceeded to take off the handle, and attach drill and it still took 2 more minutes to grind the coffee up.  He has done this for a week now, and although we knew it only held enough coffee for about 5 cups, this is way too little coffee for how long it takes to get it ground and ready.  My 22 year old son was making coffee and said by the time he was ready to drink, it felt like 20 minutes.  That is just a long time to make coffee.."
"1.0 out of 5 stars","I was really excited for this grinder at first. Got the grinder and tried it out for the first time to see that on a medium setting it was producing both fine and extra coarse grounds. I took a look at the burr to see that the center burr was not centered and was closer to the outer burr on one side and far from it on the other making an uneven grind. I reported the problem and Amazon overnighted another grinder so 5 star customer service, but the problem was even more pronounced on the second grinder with one side of the center burr constantly touching the wall of the outer burr on a medium to coarse setting. Not a good grinder at all"
"5.0 out of 5 stars","This is a nice grinder.  My previous one had a big glass jar to collect the grinds, which made it harder to grip.  This one is much easier to grip, but it still holds enough to grind a double shot of espresso (maybe 2).  At first, it seemed kind of weird that the handle doesn't screw onto the top, but it works better than the last one I had.  With that one I always had to tighten the screw half-way through the grind.  This one just works.The only negative I've had so far is that they give you a website to go to for videos on how to set up and care for your grinder, but then the website wants your e-mail address before it will show the videos.  Of course, like everything else, the videos are on Youtube.  Problem solved.  Setup was pretty intuitive anyway so it didn't take long to get brewing."
"4.0 out of 5 stars","I've never grinded my own beans before and I'm glad I did my research and chose a manual grinder over an electric blade grinder. It's very satisfying being able to crunch the beans up yourself. Sort of therapeutic. The reason I took 1 star off though is because my first grinder had a slightly off-center burr so I was getting an uneven grind and the smallest grain size I could get was medium with some larger flakes. The burr would also gradually open as I grinded beans, starting out as medium and ending as big flakes if I didn't stop halfway through and readjust it. I emailed the company and they promptly sent me out a new one. Kudos for that! The new one didn't appear to have the same defect. However after grinding just two full canisters, the burr in the replacement grinder has also become off-center. If I push hard enough I can recenter it, but it'll just go back out of alignment halfway through the grinding process. But it isn't nearly as bad as the first one, so it's not that big of a deal. If you're looking for perfect consistency, spend more on a grinder, but if you're like me, brand new to the world of grinding coffee beans, then you know it's really not that big of a deal for $20. The company is really nice and generous so I still feel like my money was pretty well spent."
"5.0 out of 5 stars","UPDATE 11/20/2017After writing my initial review the Javapresse company reached out to me and sent me a brand new grinder free of charge. I have to say the original one I received must have been defective because the one that they sent over works great! I can pull an amazing shot out of it using my Gaggia espresso machine and it tastes great. I also purchased a grinder from another company here on amazon that looked the same as the JavaPresse however it seems to me that the JavaPresse actually grinds the beans faster at the same consistency. All in all I am very happy they reached out to me and now I can happily change my rating to a 5 star.!______________________________Incredibly disappointed with this product. When I received it the packaging looked great and I was really excited to start using it, seemed simple and easy enough to use. After putting in my coffee bean I noticed immediately something was wrong as the burr grinder would not spin. I removed the beans and tested it, and the burr grinder began to spin. So I added the beans back again and to no avail the grinder did not spin. I did this a couple of more times and then I simply added 1 coffee bean, that stopped the grinder from spinning as well.I then though well maybe it was assembled wrong, after inspecting the device further I noticed that the burr inside the grinder was not sturdy at all and moved all over the place, I am not sure how a grinder that has the burr moving so much could ever produce a consistent grind. However I can't confirm this as I was not able to even grind 1 bean. Now ill have to order from a different company and won't be able to enjoy my espresso for another 3 days, and for a coffee lover like myself this makes me furious, hence the one star review."
"1.0 out of 5 stars","I don't mind taking my time to grind the coffee, however this grinder produced very inconsistent results - the bottom of the grounds have the large chunks, and the finely ground coffee sits at the top. See picture for the “fine” grind setting. Thought I would be getting a better product given the great reviews..."
"1.0 out of 5 stars","My unit arrived with a conical burr that wouldn't align with the outer clyindrical burr. This causes my coffee grinds to be far from uniform in size, which means this grinder (from the factory) is about as useful as a bladed herb grinder. The plastic bits give me reason to be concerned about the lifespan of this grinder, and out of the box it fails to perform as designed or described. I would not recommend this product to anyone who is passionate about their morning coffee routine.I've been able to modify the grinder to work in a decent fashion, but only time and repetition will tell if my mod has worked. If not, refund here I come.12/4/18 Edit: modification didnt hold, grinder is producing extremely uneven coffee particles. Don't buy this grinder."
"2.0 out of 5 stars"," I bought this grinder to use occasionally for a course grind in a French press or for cold brewing when I buy whole beans. I liked the idea of a manual grinder, so I wouldn't have to worry about any electrical components failing, shorting out, etc. The reviews for this were great, and videos site on the Javapresse website made it seem easy enough to grind.However, this required a LOT more elbow grease than I'd imagined. I tried with some Colombian beans which I filled almost to the top. As you can see from my video, it takes quite a bit of grip and force to get it cranking - someone with weak hands or arthritis definitely wouldn't be able to use this. You can also see that the sleek stainless steel design caused it to just spin right through my hand while trying to grind; it was very hard to get a good grip on it. I tried wrapping it in rubber bands, using a kitchen potholder to add extra grip, and holding it against my chest instead of on the countertop, but it kept on spinning and slipping through my hand. It also kept getting stuck - I'd have to back off a bit and then try again to keep it moving. Besides trying to add more grip, I also tried adding fewer beans (filling halfway instead of to the top), as well as disassembling and reassembling it to make sure the components were lined up correctly, but it still took just as much effort. My hands hurt!Unless I somehow got a defective model, I can't imagine using this on a daily basis since it took so much effort to grind a quarter cup of coffee, and was almost impossible to keep a good grip on it while grinding because of its smooth design. The only thing I liked about it was its compact design, which could have stayed on the counter without taking up too much space. Sadly, I'll be returning it and will probably replace with an electric blade grinder after all."
"5.0 out of 5 stars","Since my first order was about a year ago, my family and I have been using our JavaPresse without any issues.  It is very sturdy and reliable.  Wanting to find a device that can ''crack'' larges amounts of Pepper corns and other spices for cooking, my son asked, why do you try our JavaPresse?  At first I was reluctant to try it because I didn't want to mix my coffee flavor with pepper and the other spices but I decided to give it a try after cleaning it.  I was amazed that I actually found a pepper grinder/cracker that actually cracked the pepper about as perfect as I wanted, and I needed about 2 cups of fresh cracked pepper.  My JavaPresse did it within just a few minutes.So long story short, I ended up purchasing my second JavaPresse coffee grinder / spice cracker that I have been looking for so I don't have Just a very sturdy product and the customer service and information is great.  Outstanding product for both coffee beans and your spices."
"3.0 out of 5 stars","Overall, a pretty decent manual coffee grinder. There are a few quality-of-life issues that can be annoying; hopefully they will be addressed in a later generation of this product.Pros:1) Can grind anything from fine to coarse for a variety of uses2) Perfect size for 1-2 people3) Doesn't take very long to grind a cup worth on the coarse side of the spectrum (a little more work on the fine side)4) Fresh coffee every morning!5) Stainless steel is pretty nice6) Reasonably pricedCons/Areas for Improvement:1) The top slides into the base on the bottom (metal against metal) with no way to hold the two parts together. If you hold by the bottom while grinding, the top will spin and it won't actually grind. If you hold from the top, the bottom comes off spilling coffee grounds everywhere. It is awkward to hold the two pieces together.2) Sometimes it's just really hard to grind, and I have no idea why. I've cleaned it thoroughly, and I'm relatively young and strong, so it's not like I lack the strength to grind the beans. It's just hard to get a good grip on the slippery metal, and I end up squeezing so hard my hand hurts (to keep the base from spinning in my hand). A handle would be nice. I've been wrapping that rubber drawer liner around the device to get a better grip.3) Kind of difficult to clean4) I often switch between coarse for my cold brew (in a French press) and medium-fine for drip, and it can be challenging to find the right grind level each time. The instructions say to grind ~10 beans at a time to see how you should vary the grind level; that is fine if you set it and forget it. If you change often, it just gets annoying, and is a waste of good beans5) If you have larger hands, the crank while often rub against your knuckles. You may need to awkwardly crank by your finger tipsDespite the many areas for improvement, I don't regret this purchase; however, I will be looking to replace it when I come across the right product."
"1.0 out of 5 stars","First thing out of the box, I loosen the burr to test turn it and the burr is offset, narrow on one end wide on the other. I take it off to inspect it for any debris that could cause it, and the ceramic burr itself is pitted and deformed. The plastic insert holding the burr to the central rod is loose, letting the burr wobble and not get a consistent grind.When I set it to a ''fine'' size, the burr will press against the outer wall, making it hard to turn.All in all garbage quality product. Don't waste your time ordering this to just have to return it."
"1.0 out of 5 stars","This grinder lasted less than 6 months of daily use.  I was hoping that it would be a good purchase since I don't want a grinder that requires electricity.  Apparently the search is still on.  This grinder has cheap plastic parts inside that snapped in half.  I do not recommend for anyone looking for a good grinder...."
