Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
02/14/2014,20:10:00,MCP,"1st district, Rockville",FAILURE TO DRIVE ON RIGHT HAND ROADWAY OF DIVIDED HWY,GATEWAY CENTER DR @ CLARKSBURG RD,39.2348434333333,-77.28153995,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,CADI,STS,BLACK,Citation,21-311(1),Transportation Article,No,WHITE,M,POINT OF ROCK,MD,WV,A - Marked Patrol,"(39.2348434333333, -77.28153995)"
03/19/2012,16:10:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,CLARENDON RD @ ELM ST. N/,38.9827307333333,-77.1007551666667,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,1996,HONDA,CIVIC,SILVER,Citation,21-1124.2(d2),Transportation Article,No,HISPANIC,M,ARLINGTON,VA,VA,A - Marked Patrol,"(38.9827307333333, -77.1007551666667)"
06/09/2012,21:19:00,MCP,"3rd district, Silver Spring",OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT,2068 HARLEQUIN TERRACE,39.06914295,-76.9696780666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,CHEVROLET,IMPALA,SILVER,Citation,22-412.3(b),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.06914295, -76.9696780666667)"
12/20/2012,00:41:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,NORFOLK AVE /  ST ELMO AVE,38.9835782,-77.09310515,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,AUDI,4S,GRAY,Citation,21-902(b1),Transportation Article,No,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,"(38.9835782, -77.09310515)"
07/20/2012,23:12:00,MCP,"5th district, Germantown",FAILURE TO STOP AT STOP SIGN,WISTERIA DR @ WARING STATION RD,39.1618098166667,-77.25358095,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,TOYT,4S,RED,Citation,21-707(a),Transportation Article,No,ASIAN,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1618098166667, -77.25358095)"
09/11/2012,21:47:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,TWIG RD AT GOOD HOPE RD,39.09619885,-76.98696215,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,DODGE,CHARGER,BLACK,Citation,16-303(d),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.09619885, -76.98696215)"
07/23/2013,23:15:00,MCP,"4th district, Wheaton",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,108 / OLD BALTIMORE RD,39.1516659166667,-77.0706278,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,SATURN,LS,SILVER,Citation,13-411(a),Transportation Article,No,BLACK,F,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.1516659166667, -77.0706278)"
10/28/2013,17:41:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY. FROM PRIVATE ROAD,EMORY GROVE RD @ MEADOW GREEN WAY,39.1299347666667,-77.1670501333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,HONDA,ACCORD,GOLD,Citation,21-404(b),Transportation Article,Yes,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1299347666667, -77.1670501333333)"
08/28/2017,23:41:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,355 @ SOUTH WESTLAND DRIVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,MINI COOPER,2S,WHITE,Citation,16-303(c),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
12/17/2015,13:15:00,MCP,"5th district, Germantown","FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED DAMAGE,PROPERTY",19916 CRYSTAL ROCK DR,39.2227933333333,-77.25369,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,TOYOTA,CAMRY,BLACK,Citation,20-103(b),Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.2227933333333, -77.25369)"
08/28/2017,23:41:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,355 @ SOUTH WESTLAND DRIVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,MINI COOPER,2S,WHITE,Citation,16-303(d),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
05/12/2015,08:26:00,MCP,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,WOOTTON PKWY @ PRESERVE PKWY,39.067535,-77.14941,No,No,No,No,No,No,No,No,No,No,VA,28 - Other,2002,FORD,ECONOLINE,WHITE,Citation,16-303(d),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.067535, -77.14941)"
08/28/2017,23:41:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,355 @ SOUTH WESTLAND DRIVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,MINI COOPER,2S,WHITE,Citation,16-101(a),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
10/25/2015,11:17:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,RT. 29/ STEWART LN.,39.048205,-76.9847216666667,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,1991,LEXUS,4S,BLACK,Citation,16-115(g),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.048205, -76.9847216666667)"
08/29/2017,01:56:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,KENTLANDS BLVD@GREAT SENECA HWY,39.1232416666667,-77.2329983333333,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2005,FORD,ESCAPE,RED,Citation,16-101(a),Transportation Article,No,HISPANIC,M,CLARKSBURG,MD,MD,A - Marked Patrol,"(39.1232416666667, -77.2329983333333)"
03/20/2013,08:53:00,MCP,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,29/LOCKWOOD,39.0306766666667,-77.005105,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,ACUR,4S,GOLD,Citation,21-801.1,Transportation Article,No,OTHER,M,TAKOMA PARK,MD,MD,Q - Marked Laser,"(39.0306766666667, -77.005105)"
01/12/2013,08:53:00,MCP,"2nd district, Bethesda",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,355 X SOUTH DR,38.9992781833333,-77.0970100666667,No,No,No,No,No,Yes,No,Yes,No,No,MD,10 - Transit Bus,2012,GILL,HY,BLUE,Citation,21-402(a),Transportation Article,No,BLACK,F,FORESTVILLE,MD,MD,A - Marked Patrol,"(38.9992781833333, -77.0970100666667)"
05/22/2013,14:04:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,12413 PUEBLO ROAD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,CADI,ESCALADE,BLACK,Citation,13-411(a),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
12/06/2012,12:34:00,MCP,Headquarters and Special Operations,PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,FLOWER AVE @ PINEY BRANCH,38.9984182,-77.00384695,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Citation,21-503(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,O - Foot Patrol,"(38.9984182, -77.00384695)"
08/29/2017,01:56:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,KENTLANDS BLVD@GREAT SENECA HWY,39.1232416666667,-77.2329983333333,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2005,FORD,ESCAPE,RED,Citation,16-116(a),Transportation Article,No,HISPANIC,M,CLARKSBURG,MD,MD,A - Marked Patrol,"(39.1232416666667, -77.2329983333333)"
08/28/2017,23:09:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,7301 WAVERLY ST,38.9830316666667,-77.092455,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,HONDA,ACCORD,GRAY,Citation,16-115(g),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9830316666667, -77.092455)"
08/28/2017,23:09:00,MCP,"2nd district, Bethesda","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",7301 WAVERLY ST,38.9830316666667,-77.092455,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,HONDA,ACCORD,GRAY,Citation,16-101(a),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9830316666667, -77.092455)"
08/28/2017,23:01:00,MCP,"6th district, Gaithersburg / Montgomery Village",PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,WATKINS MILL RD/TRAVIS AVE,39.1621716666667,-77.214045,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Citation,22-412.3(c2),Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MN,A - Marked Patrol,"(39.1621716666667, -77.214045)"
09/29/2013,21:43:00,MCP,"1st district, Rockville",FAILURE OF VEH. DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT,11717 TRAILRIDGE DR,39.1131833333333,-77.235485,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,AUDI,S5,BLACK,Citation,20-105(a),Transportation Article,No,ASIAN,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.1131833333333, -77.235485)"
08/28/2017,23:14:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,NEW HAMPSHIRE AVE @ CANNON RD,39.0699366666667,-77.0030916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,MERCEDEZ,SUV,BLACK,Citation,16-303(c),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0699366666667, -77.0030916666667)"
09/19/2013,14:12:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO YIELD RIGHT-OF-WAY AT INTERSECTION YIELD SIGN,COLESVILLE RD @ 16TH ST,38.9925,-77.0365133333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,BUICK,ENCLAVE,WHITE,Citation,21-403(d),Transportation Article,Yes,BLACK,M,BALTIMORE,MD,MD,A - Marked Patrol,"(38.9925, -77.0365133333333)"
08/28/2017,23:14:00,MCP,"4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",NEW HAMPSHIRE AVE @ CANNON RD,39.0699366666667,-77.0030916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,MERCEDEZ,SUV,BLACK,Citation,16-303(h),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0699366666667, -77.0030916666667)"
08/28/2017,23:14:00,MCP,"4th district, Wheaton",POSSESSING SUSPENDED LIC.,NEW HAMPSHIRE AVE @ CANNON RD,39.0699366666667,-77.0030916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,MERCEDEZ,SUV,BLACK,Citation,16-301(j),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0699366666667, -77.0030916666667)"
01/30/2013,20:51:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,WATKINS MILL RD / STEDWICK RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,CHEV,MALIBU,WHITE,Citation,16-101(a),Transportation Article,No,HISPANIC,M,RIVERDALE,MD,MD,A - Marked Patrol,
01/08/2013,16:33:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,AIRPARK @ STRATOS,38.9964879833333,-77.1093180333333,No,No,Yes,No,No,No,No,No,No,No,MD,01 - Motorcycle,2012,KAWASAKI,NINJA,GREEN,Citation,16-101(a),Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(38.9964879833333, -77.1093180333333)"
11/30/2013,22:55:00,MCP,"5th district, Germantown",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,118 @ DAWSON FARM RD,39.1718183333333,-77.2777933333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,ACURA,SUV,BLACK,Citation,13-409(b),Transportation Article,No,ASIAN,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1718183333333, -77.2777933333333)"
06/26/2013,20:15:00,MCP,"3rd district, Silver Spring",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,10206 NEW HAMPSHIRE AVE,39.0222590833333,-76.9782608,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2000,HONDA,ACCORD,RED,Citation,21-801(b),Transportation Article,No,BLACK,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0222590833333, -76.9782608)"
05/27/2013,14:13:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 80 MPH IN A POSTED 55 MPH ZONE,NB 270 / MUDDY BRANCH RD,39.0984526333333,-77.2045743,No,No,No,No,No,No,No,No,No,No,MD,08 - Recreational Vehicle,2012,JEEP,4X4,GRAY,Citation,21-801.1,Transportation Article,Yes,WHITE,F,NEW MARKET,MD,MD,A - Marked Patrol,"(39.0984526333333, -77.2045743)"
05/25/2012,10:39:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STOP SIGN LINE,SB BROADBIRCH DR/ PLUM ORCHARD DR,39.0559105666667,-76.9579645166667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,FORD,F150,"BLUE, DARK",Citation,21-707(a),Transportation Article,No,WHITE,M,GLEN ARM,MD,MD,A - Marked Patrol,"(39.0559105666667, -76.9579645166667)"
12/06/2012,13:07:00,MCP,"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,"E/B RT 108 AT PRINCE PHILLIP DRIVE, OLNE",39.1492181833333,-77.0565918166667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,TOYT,RAV 4,GREEN,Citation,16-116(a),Transportation Article,No,ASIAN,M,AMHERST,NY,NY,A - Marked Patrol,"(39.1492181833333, -77.0565918166667)"
11/15/2012,09:50:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,SHADY FROVE RD & CRABBS BRANCH WAY,39.12860635,-77.1691451833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,MITSUBISHI,GALLANT,WHITE,Citation,13-411(d),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.12860635, -77.1691451833333)"
08/28/2017,23:14:00,MCP,"4th district, Wheaton",DISPLAY SUSPENDED LIC.,NEW HAMPSHIRE AVE @ CANNON RD,39.0699366666667,-77.0030916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,MERCEDEZ,SUV,BLACK,Citation,16-301(e),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0699366666667, -77.0030916666667)"
08/29/2017,05:21:00,MCP,"4th district, Wheaton",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,NEW HAMPSHIRE AVE @ EDNOR RD,39.1356816666667,-76.9948783333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,FORD,EXPLORER,BLACK,Citation,21-401,Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1356816666667, -76.9948783333333)"
08/28/2017,23:13:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE,LOST KNIFE RD. @ LOST KNIFE CIR,39.1578533333333,-77.204095,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,FORD,EXCURSION,BLUE,Citation,21-801.1,Transportation Article,No,HISPANIC,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1578533333333, -77.204095)"
08/28/2017,22:56:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GEORGIA AVE/PLYERS MILL RD,39.0300616666667,-77.0481266666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,CIVIC,BLACK,Citation,21-201(a1),Transportation Article,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0300616666667, -77.0481266666667)"
10/01/2013,06:51:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,GEORGIA AVE/HEWITT AVE,,,No,No,Yes,No,No,No,No,No,No,No,XX,19 - Moped,2012,SUNNY,NINGBO,RED,Citation,21-801(b),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,
08/29/2017,00:27:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,NB COLUMBIA PIKE / BRIGGS CHANEY RD,39.0827745274131,-76.9484031200409,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,FORD,EXPEDITION,TAN,Citation,21-902(a1),Transportation Article,No,BLACK,F,ASPEN HILL,MD,MD,A - Marked Patrol,"(39.0827745274131, -76.9484031200409)"
08/29/2017,00:27:00,MCP,"3rd district, Silver Spring",DRIVING WHILE IMPAIRED BY ALCOHOL,NB COLUMBIA PIKE / BRIGGS CHANEY RD,39.0827745274131,-76.9484031200409,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,FORD,EXPEDITION,TAN,Citation,21-902(b1),Transportation Article,No,BLACK,F,ASPEN HILL,MD,MD,A - Marked Patrol,"(39.0827745274131, -76.9484031200409)"
02/24/2015,08:22:00,MCP,"3rd district, Silver Spring",UNSAFE BACKING OF MOTOR VEH.,10009 RENFREW ROAD,39.0197683333333,-77.0240283333333,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007,LINCOLN,MARK LT,CREAM,Citation,21-1102(a),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0197683333333, -77.0240283333333)"
05/02/2014,22:43:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,FLOWER AVE @ DOMER AVE,38.9966666666667,-77.0031683333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,HOND,CIVIC,WHITE,Citation,22-226(a),Transportation Article,No,HISPANIC,M,HYATTSVILLE,MD,MD,B - Unmarked Patrol,"(38.9966666666667, -77.0031683333333)"
04/22/2013,17:03:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,MONTGOMERY VILLAGE @ WALKERS CHOICE,39.1655479666667,-77.20489015,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,TOYOTA,RAV 4,BLUE,Citation,16-101(a),Transportation Article,No,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.1655479666667, -77.20489015)"
02/09/2013,11:59:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,REEDIE DR/FERN STREET,39.0395935166667,-77.0485697166667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,FORD,EXPLORER,RED,Citation,21-201(a1),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0395935166667, -77.0485697166667)"
11/08/2013,22:44:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,WISTERIA/118,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,CHRY,SEBRING,SILVER,Citation,16-303(c),Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MD,M - Marked (Off-Duty),
06/25/2013,20:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",WILLFULLY DISOBEYING LAWFUL ORDER AND DIRECTION OF POLICE OFFICER,MONTGOMERY VILLAGE AVE @ CLUB HOUSE RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,INFI,G35,SILVER,Citation,21-103(a),Transportation Article,No,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,
