type,text
ham,Hey so whats the plan this sat? 
ham,Can you just come in for a sec? There's somebody here I want you to see
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,"I think we're going to finn's now, come"
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages all over his arms every five minutes
ham,You please give us connection today itself before  DECIMAL  or refund the bill
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Mum not going robinson already.
ham,Got meh... When?
ham,We are both fine. Thanks
ham,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah"
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,Hey! do u fancy meetin me at 4 at cha – hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,"If you want to mapquest it or something look up usf dogwood drive, that's the tiny street where the parking lot is"
ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
ham,Becoz its  #  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
ham,Beautiful Truth against Gravity.. Read carefully: Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.. GOOD NIGHT
ham,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
ham,Lara said she can loan me  # .
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
ham,So wats ur opinion abt him and how abt is character?
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,Are you at work right now ?
ham,Bring home some Wendy =D
ham,Ok going to sleep. Hope i can meet her.
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we€˜re in b€˜ham. Have a jolly good rest of week
ham,Hmmm:)how many players selected?
ham,You flippin out yet?
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,Hey tmr maybe can meet you at yck
ham,Ok i'm coming home now.
ham,u called dad oredi...
ham,"Alright, I'll head out in a few minutes, text me where to meet you"
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,Will be office around 4 pm. Now i am going hospital.
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT CARE. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
ham,Yup bathe liao...
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
ham,S.this will increase the chance of winning.
ham,How are you doing. How's the queen. Are you going for the royal wedding
ham,Dear reached railway. What happen to you
ham,Probably gonna swing by in a wee bit
ham,K k pa Had your lunch aha.
ham,Whom you waited for yesterday
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
ham,At home by the way
ham,Have a good evening! Ttyl
ham,Am watching house €“ very entertaining €“ am getting the whole hugh laurie thing €“ even with the stick €“ indeed especially with the stick.
ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
ham,She's good. How are you. Where r u working now
ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
spam,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
ham,have got * few things to do. may be in * pub later.
ham,Wat u doing now?
ham,"I'm a guy, browsin is compulsory"
ham,No i am not having not any movies in my laptop
ham,What should i eat fo lunch senor
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
ham,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
ham,Please dont say like that. Hi hi hi
ham,Really? I crashed out cuddled on my sofa.
ham,Dont show yourself. How far. Put new pictures up on facebook.
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
ham,What not under standing.
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham,I didnt get anything da
ham,I want snow. It's just freezing and windy.
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,You stayin out of trouble stranger!!saw Dave the other day he’s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
ham,"I've got  # , any way I could pick up?"
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,U can call me now...
ham,Eatin my lunch...
ham,"What will we do in the shower, baby?"
ham,Leave it wif me lar... u wan to carry meh so heavy... Is da num 98321561 familiar to u?
ham,No just send to you. Bec you in temple na.
ham,After completed degree. There is no use in joining finance.
ham,Now am free call me pa.
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
ham,Do I? I thought I put it back in the box
ham,I have many dependents
ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while & found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up & he found out tht those r nt stones, those were diamonds. Moral:Dont wake up early in d mrng'' GOOD night"
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
ham,"Jus chillaxin, what up"
ham,No break time one... How... I come out n get my stuff fr u?
spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,Ok... Let u noe when i leave my house.
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,Midnight at the earliest
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  #  dollars.
ham,U should make a fb list
ham,"Princess, is your kitty shaved or natural?"
ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
ham,Me fine..absolutly fine
ham,How much are we getting?
ham,Did you try making another butt.
spam,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
ham,I am sorry it hurt you.
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,Ok. C u then.
ham,Ok leave no need to ask
ham,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
ham,I remain unconvinced that this isn't an elaborate test of my willpower
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
ham,Mm have some kanji dont eat anything heavy ok
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
ham,Ya very nice. . .be ready on thursday
ham,Anything lar...
ham,Oh thanks a lot..i already bought 2 eggs ..
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
ham,No no. I will check all rooms befor activities
ham,No pic. Please re-send.
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
ham,I donno if they are scorable
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I’LLSPEAK 2U SOONLOTS OF LOVEME XXXX.
ham,Have you finished work yet? :)
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
ham,Gud mrng dear hav a nice day
ham,You are a very very very very bad girl. Or lady.
ham,In e msg jus now. U said thanks for gift.
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  # 
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
ham,I have gone into get info bt dont know what to do
ham,That's a shame! Maybe cld meet for few hrs tomo?
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
ham,Yupz... I've oredi booked slots 4 my weekends liao... 
ham,Is that on the telly? No its Brdget Jones!
ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some stuff with my credit card"
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
